p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CGA 0 1.60036641369506 0.715 0.276 0 0 CGA
SPARCL1 0 1.4532339605436 0.736 0.272 0 0 SPARCL1
SEMA3E 0 1.4152664879768 0.412 0.106 0 0 SEMA3E
RAMP1 0 1.35665575888539 0.403 0.113 0 0 RAMP1
TMSB4X 0 1.203222476717 0.933 0.593 0 0 TMSB4X
TMSB4XP4 0 1.18322626465531 0.798 0.395 0 0 TMSB4XP4
RPS4Y1 0 1.18023299388241 0.294 0.081 0 0 RPS4Y1
RPL21 0 1.1628469080964 0.796 0.452 0 0 RPL21
MDK 0 1.16034993740703 0.582 0.255 0 0 MDK
PDE4D 0 1.15987420138295 0.326 0.128 0 0 PDE4D
TMEM190 0 1.12156412184052 0.213 0.035 0 0 TMEM190
RPS12 0 1.11855034502436 0.819 0.507 0 0 RPS12
LAMP5 0 1.09362157658273 0.249 0.063 0 0 LAMP5
IGFBP5 0 1.07415484670605 0.429 0.164 0 0 IGFBP5
ENO1 0 1.06701392881976 0.55 0.279 0 0 ENO1
RPS27 0 1.05619101919877 0.959 0.771 0 0 RPS27
SERPINI1 0 1.05476067617118 0.261 0.076 0 0 SERPINI1
RPS29 0 1.03829552206279 0.854 0.551 0 0 RPS29
RPS15A 0 1.03748900597345 0.668 0.362 0 0 RPS15A
EDIL3 0 1.02510091801691 0.216 0.05 0 0 EDIL3
RPS5 0 1.00045531304773 0.595 0.309 0 0 RPS5
RPL21P16 0 0.989602880358065 0.52 0.238 0 0 RPL21P16
SEZ6L 0 0.982347673474586 0.501 0.232 0 0 SEZ6L
SCD 0 0.976412881698181 0.207 0.049 0 0 SCD
RPS23 0 0.975104013179463 0.774 0.491 0 0 RPS23
SNHG31 0 0.960342775250048 0.255 0.079 0 0 SNHG31
PART1 0 0.952223868920599 0.176 0.039 0 0 PART1
PLD3 0 0.942190668120503 0.765 0.475 0 0 PLD3
RPL17 0 0.941916752703659 0.663 0.376 0 0 RPL17
RPL17-C18orf32 0 0.925722191554528 0.815 0.552 0 0 RPL17-C18orf32
ATP1B2 0 0.925625685973196 0.354 0.142 0 0 ATP1B2
